,Topic,Article,Claim
703,year round schooling ,Year-round school,"More frequent, short breaks provide struggling students more time for help"
704,year round schooling ,Year-round school,parents are in favor of the year-round schedule
705,year round schooling ,Year-round school,The year round schedule provides more opportunities for family vacations
706,year round schooling ,Year-round school,If schools are open for longer the operating and maintenance costs may increase
707,year round schooling ,Year-round school,Year round schooling may create difficulties for teens to be able to maintain part-time or summer job
708,year round schooling ,Year-round school,Students with attention learning disabilities may experience difficulties with longer school days
709,year round schooling ,Year-round school,Students that attend year round schooling may miss out on experiences
710,subsidise poor communities ,Subsidy,Subsidies may distort markets
711,subsidise poor communities ,Subsidy,subsidies may distort the market
712,subsidise poor communities ,Subsidy,produce inefficiencies
713,subsidise poor communities ,Subsidy,they are inefficient
714,subsidise poor communities ,Cycle of poverty,"poverty, once started, is likely to continue unless there is outside intervention"
715,subsidise poor communities ,Social safety net,"Safety nets redistribute income to the poorest and most vulnerable, with an immediate impact on poverty"
716,subsidise poor communities ,Social safety net,Safety nets enable households to make productive investments in their future that they may otherwise miss
717,subsidise poor communities ,Social safety net,CCT Programs have been proved to be very well-targeted and effective
718,subsidise poor communities ,Social safety net,CCT Programs are efficient tools for reducing poverty and inequality
719,subsidise poor communities ,Social safety net,Subsidies guarantee access to essential commodities at prices that consumers can afford
720,subsidise poor communities ,Social safety net,they tend to be expensive and regressive
721,subsidise poor communities ,Social safety net,May distort production incentives
722,subsidise poor communities ,Social safety net,Safety nets in low-income countries are increasingly being recognized as effective tools to reach out to the most vulnerable
723,subsidise poor communities ,Social safety net,they protect households facing hard times from falling into deeper poverty and help them manage risk
724,subsidise poor communities ,Social safety net,they can provide households with a cushion to invest resources more efficiently
725,subsidise poor communities ,Welfare's effect on poverty,welfare has reduced poverty
726,subsidise poor communities ,Welfare's effect on poverty,sustains or even creates poverty
727,subsidise poor communities ,Welfare's effect on poverty,poverty decreases after countries adapt welfare programs
728,subsidise poor communities ,Welfare's effect on poverty,welfare creates a dependence
729,subsidise poor communities ,Welfare's effect on poverty,makes an incentive to not find work
730,subsidise poor communities ,Welfare's effect on poverty,welfare not only increases poverty but also increases other problems
731,subsidise poor communities ,Criticisms of welfare,"the welfare state has produced a generation of dependents who, instead of working, rely solely upon the state for income"
732,subsidise poor communities ,Criticisms of welfare,it creates dependence to the state
733,subsidise poor communities ,Prodesis,the availability of government funds has led to tensions within the community
734,subsidise poor communities ,Poverty reduction,foreign aid is seen to be serving the interests of the donor more than the recipient
735,subsidise poor communities ,Economic inequality,Higher levels of economic inequality tend to intensify social hierarchies and generally degrade the quality of social relations
736,subsidise poor communities ,Economic inequality,Economic inequality is thought to reduce distributive efficiency within society
737,subsidise poor communities ,Economic inequality,a society with more equality will have higher aggregate utility
738,subsidise poor communities ,Economic inequality,"in societies where inequality is lower, population-wide satisfaction and happiness tend to be higher"
739,subsidise poor communities ,Economic inequality,an increased gap between rich and poor increases the incentives for competition and innovation within an economy
740,subsidise poor communities ,Economic inequality,inequality is harmful for economic development
741,subsidise poor communities ,Economic inequality,redistributive policies that have an adverse effect on investment and economic growth
742,subsidise poor communities ,Economic inequality,economic equality is necessary for political freedom
743,subsidise poor communities ,Economic inequality,when there is economic inequality then political inequality is assured
744,subsidise poor communities ,Economic inequality,a certain amount of redistribution would be justified
745,subsidise poor communities ,Economic inequality,"without redistribution, one generation's successful individuals would become the next generation's embedded caste"
746,subsidise poor communities ,Economic inequality,social justice requires redistribution of high incomes and large concentrations of wealth in a way that spreads it more widely
747,subsidise poor communities ,Economic inequality,economic inequality reduces social cohesion and increases social unrest
748,subsidise poor communities ,Economic inequality,economic inequality invariably translates to political inequality
749,subsidise poor communities ,Welfare culture,welfare empowers individuals
750,subsidise poor communities ,Welfare culture,breeds dependence on government aid
751,subsidise poor communities ,Welfare culture,welfare only bred dependence on the government
752,subsidise poor communities ,Welfare culture,welfare has demonstrated some proven effects for helping impoverished families
753,subsidise poor communities ,Redistribution of wealth,less stratified economies are more socially just
754,subsidise poor communities ,Redistribution of wealth,"the rich have an obligation to assist the poor, thus creating a more financially egalitarian society"
755,subsidise poor communities ,Redistribution of wealth,"the rich exploit the poor or otherwise gain unfair benefits, and thus should return some of those benefits"
756,subsidise poor communities ,Redistribution of wealth,a larger middle class benefits an economy by enabling more people to be consumers
757,subsidise poor communities ,Redistribution of wealth,economic inequality contributes to crime
758,subsidise poor communities ,Redistribution of wealth,a lower rate of redistribution in a given society increases the inequality found among future incomes
759,subsidise poor communities ,Redistribution of wealth,wealth and income inequality are a cause of economic crises
760,subsidise poor communities ,Redistribution of wealth,reducing these inequalities is one way to prevent or ameliorate economic crises
761,subsidise poor communities ,Redistribution of wealth,it improves social stability
762,subsidise poor communities ,Redistribution of wealth,there is no encouragement of those receiving aid to resume working
763,subsidise poor communities ,Redistribution of wealth,redistribution of legitimately obtained property cannot ever be just
764,subsidise poor communities ,Redistribution of wealth,redistribution tends to benefit those with political clout to set spending priorities more than those in need
765,the United States is responsible for Mexico's drugs war ,Mexican Drug War,A significant number of firearms that make their way to Mexico come from U.S. gunshops
766,the United States is responsible for Mexico's drugs war ,Mexican Drug War,most weapons and arms trafficked into Mexico are from gun dealers in the United States
767,the United States is responsible for Mexico's drugs war ,Mexican Drug War,Mexican crime guns traced to U.S. origins
768,the United States is responsible for Mexico's drugs war ,Mexican Drug War,a 'significant' percentage of their firearms originate from gun stores and other sources in the U.S
769,the United States is responsible for Mexico's drugs war ,Mexican Drug War,most of the financing for the Mexican traffickers comes from American drug consumers
770,the United States is responsible for Mexico's drugs war ,Mexican Drug War,America's] insatiable demand for illegal drugs fuels the drug trade
771,the United States is responsible for Mexico's drugs war ,Mexican Drug War,the root cause of the problem: U.S. demand
772,the United States is responsible for Mexico's drugs war ,Smuggling of firearms into Mexico,a 'significant' percentage of their firearms originate from gun stores and other sources in the U.S
773,the United States is responsible for Mexico's drugs war ,Smuggling of firearms into Mexico,the majority of illegal guns in Mexico really come from the United States
774,the United States is responsible for Mexico's drugs war ,Smuggling of firearms into Mexico,American guns are arming the Mexican drug cartels
775,the United States is responsible for Mexico's drugs war ,Smuggling of firearms into Mexico,most weapons and arms trafficked into Mexico are from gun dealers in the United States
776,the United States is responsible for Mexico's drugs war ,Project Gunrunner,American guns are arming the Mexican drug cartels
777,the United States is responsible for Mexico's drugs war ,ATF gunwalking scandal,"the ATF knowingly allowed thousands of guns to be bought by suspected arms traffickers (""gunrunners"") working through straw purchasers on behalf of Mexican drug cartels"
778,the United States is responsible for Mexico's drugs war ,ATF gunwalking scandal,"American) government has been sending weapons to Mexico in a premeditated and systematic manner, knowing that their destinations were Mexican criminal organizations"
779,the United States is responsible for Mexico's drugs war ,War on Drugs,"by making drugs illegal rather than regulating them, the War on Drugs creates a highly profitable black market"
780,the United States is responsible for Mexico's drugs war ,Mיrida Initiative,most of the financing for the Mexican traffickers comes from American drug consumers
781,the United States is responsible for Mexico's drugs war ,Mיrida Initiative,firearms recovered in Mexico came from U.S. gun dealers
782,the United States is responsible for Mexico's drugs war ,Mיrida Initiative,the root cause of the problem: U.S. demand
783,the United States is responsible for Mexico's drugs war ,Mיrida Initiative,"American) government has been sending weapons to Mexico in a premeditated and systematic manner, knowing that their destinations were Mexican criminal organizations"
784,the US is justified in using force to prevent states from acquiring nuclear weapons ,Criticism of American foreign policy,the US keeps a huge stockpile of nuclear weapons while urging other nations not to get them
785,the US is justified in using force to prevent states from acquiring nuclear weapons ,Criticism of American foreign policy,"the United Nations Charter, ratified by the U.S., prohibits members from using force against fellow members except against imminent attack"
786,the US is justified in using force to prevent states from acquiring nuclear weapons ,Nuclear proliferation,more countries with nuclear weapons may increase the possibility of nuclear warfare
787,the US is justified in using force to prevent states from acquiring nuclear weapons ,Nuclear proliferation,A fundamental goal for American and global security is to minimize the proliferation risks associated with the  expansion of nuclear power
788,the US is justified in using force to prevent states from acquiring nuclear weapons ,Nuclear proliferation,the spread of nuclear weapons could increase international stability
789,the US is justified in using force to prevent states from acquiring nuclear weapons ,Nuclear proliferation,it will decrease the likelihood of war
790,the US is justified in using force to prevent states from acquiring nuclear weapons ,Nuclear proliferation,nuclear weapons promote caution in decision-makers
791,the US is justified in using force to prevent states from acquiring nuclear weapons ,Nuclear proliferation,most states are not in a position to safely guard against nuclear use
792,the US is justified in using force to prevent states from acquiring nuclear weapons ,Nuclear proliferation,weak states will be unable to prevent – or will actively provide for – the disastrous possibility of nuclear terrorism
793,the US is justified in using force to prevent states from acquiring nuclear weapons ,Nuclear proliferation,If one state produces a nuclear weapon it creates almost a domino effect within the region
794,the US is justified in using force to prevent states from acquiring nuclear weapons ,Nuclear proliferation,prohibition on nuclear proliferation has been characterised as a form of technological apartheid
795,the US is justified in using force to prevent states from acquiring nuclear weapons ,Nuclear weapons debate,"no issue carries more importance to the long-term health and security of humanity than the effort to reduce, and perhaps one day, rid the world of nuclear weapons"
796,the US is justified in using force to prevent states from acquiring nuclear weapons ,Nuclear weapons debate,"Nuclear weapons are said to have induced ""nuclear peace"
797,the US is justified in using force to prevent states from acquiring nuclear weapons ,Nuclear weapons debate,reliance on nuclear weapons for deterrence is becoming increasingly hazardous and decreasingly effective
798,the US is justified in using force to prevent states from acquiring nuclear weapons ,Nuclear weapons debate,the likelihood that non-state terrorists will get their hands on nuclear weaponry is increasing
799,the US is justified in using force to prevent states from acquiring nuclear weapons ,Nuclear weapons debate,"no issue carries more importance to the long-term health and security of humanity than the effort to reduce, and perhaps one day, rid the world of nuclear weapons"
800,the US is justified in using force to prevent states from acquiring nuclear weapons ,Deterrence theory,nuclear weapons had become a source of extreme risk
801,the US is justified in using force to prevent states from acquiring nuclear weapons ,Deterrence theory,nuclear weapons are intended to deter other states from attacking with their nuclear weapons
802,the US is justified in using force to prevent states from acquiring nuclear weapons ,Deterrence theory,Nuclear weapons give nations the potential to not only destroy their enemies but humanity itself
803,the US is justified in using force to prevent states from acquiring nuclear weapons ,Deterrence theory,nuclear weapons had become a source of extreme risk
804,the US is justified in using force to prevent states from acquiring nuclear weapons ,Nuclear peace,nuclear weapons can induce stability
805,the US is justified in using force to prevent states from acquiring nuclear weapons ,Nuclear peace,decrease the chances of crisis escalation
806,the US is justified in using force to prevent states from acquiring nuclear weapons ,Nuclear peace,nuclear weapons are said to have induced stability
807,the US is justified in using force to prevent states from acquiring nuclear weapons ,Nuclear peace,nuclear proliferation may be beneficial for inducing stability
808,the US is justified in using force to prevent states from acquiring nuclear weapons ,Nuclear peace,increases the chance of inter-state nuclear conflict
809,the US is justified in using force to prevent states from acquiring nuclear weapons ,Nuclear peace,increases the chances of nuclear material falling into the hands of non-state groups who are free from the threat of nuclear retaliation
810,the US is justified in using force to prevent states from acquiring nuclear weapons ,Nuclear peace,new nuclear states will use their acquired nuclear capabilities to deter threats and preserve peace
811,the US is justified in using force to prevent states from acquiring nuclear weapons ,Nuclear peace,"new nuclear states often lack adequate organizational controls over their new weapons, which makes for a high risk of either deliberate or accidental nuclear war"
812,the US is justified in using force to prevent states from acquiring nuclear weapons ,Nuclear peace,"Nuclear weapons may also lessen a state's reliance on allies for security, thus preventing allies from dragging each other into wars"
813,the US is justified in using force to prevent states from acquiring nuclear weapons ,Nuclear peace,nuclear weapons induce stability
814,the US is justified in using force to prevent states from acquiring nuclear weapons ,Nuclear peace,nuclear weapons contribute to stability
815,the US is justified in using force to prevent states from acquiring nuclear weapons ,Treaty on the Non-Proliferation of Nuclear Weapons,the NPT cannot stop the proliferation of nuclear weapons or the motivation to acquire them
816,the US is justified in using force to prevent states from acquiring nuclear weapons ,Treaty on the Non-Proliferation of Nuclear Weapons,Having more nuclear nuclear-weapon states would reduce security for all
817,the US is justified in using force to prevent states from acquiring nuclear weapons ,Nuclear weapon,the significance of nuclear weapons is purely to deter war
818,the US is justified in using force to prevent states from acquiring nuclear weapons ,Nuclear weapon,nuclear proliferation would be desirable
819,the US is justified in using force to prevent states from acquiring nuclear weapons ,Nuclear weapon,nuclear weapons successfully deter all-out war between states
820,the US is justified in using force to prevent states from acquiring nuclear weapons ,Nuclear weapon,"no issue carries more importance to the long-term health and security of humanity than the effort to reduce, and perhaps one day, rid the world of nuclear weapons"
821,the US is justified in using force to prevent states from acquiring nuclear weapons ,Nuclear disarmament,"with nuclear weapons more widely available, deterrence is decreasingly effective and increasingly hazardous"
822,atheism is the only way ,Atheism,unproven religious propositions deserve as much disbelief as all other unproven propositions
823,atheism is the only way ,Atheism,atheists are quick to believe in God in times of crisis
824,atheism is the only way ,Atheism,God and other religious beliefs are human inventions
825,atheism is the only way ,Atheism,"belief in God and religion are social functions, used by those in power to oppress the working class"
826,atheism is the only way ,Atheism,the idea of God implies the abdication of human reason and justice
827,atheism is the only way ,Atheism,it is the most decisive negation of human liberty
828,atheism is the only way ,Atheism,necessarily ends in the enslavement of mankind
829,atheism is the only way ,Atheism,"denying the existence of a god leads to moral relativism, leaving one with no moral or ethical foundation"
830,atheism is the only way ,Atheism,renders life meaningless and miserable
831,atheism is the only way ,Atheism,religion as a human invention used to frighten people into following moral order
832,atheism is the only way ,Atheism,atheism is a superior basis for ethics
833,atheism is the only way ,Atheism,religions provide a net benefit to individuals and society
834,atheism is the only way ,Atheism,religions can be harmful
835,atheism is the only way ,Atheism,reliance on divine authority lends itself to authoritarianism and dogmatism
836,atheism is the only way ,Existence of God,arguments for the existence of God show insufficient reason to believe
837,atheism is the only way ,Existence of God,"the universe includes ""ideas"" not perceptible to mankind (or not always perceptible), and that there must therefore exist an omniscient superobserver"
838,atheism is the only way ,Existence of God,"there was a ""first cause"", or ""prime mover"" who is identified as God"
839,atheism is the only way ,Existence of God,the universe's order and complexity are best explained by reference to a creator God
840,atheism is the only way ,Existence of God,certain features of the universe and of living things are the product of an intelligent cause
841,atheism is the only way ,Existence of God,"basic facts, such as humanity's existence, are best explained by the existence of God"
842,atheism is the only way ,Existence of God,"ethics, and other serious matters do not make sense in the absence of God"
843,atheism is the only way ,Existence of God,atheistic arguments must ultimately refute themselves if pressed with rigorous consistency
844,atheism is the only way ,Existence of God,the theism of people throughout most of recorded history and in many different places provides prima facie demonstration of God's existence
845,atheism is the only way ,Existence of God,when a person's understanding ponders over the existence of God it encounters nothing but contradictions
846,atheism is the only way ,Existence of God,natural (non-supernatural) theories adequately explain the development of religion and belief in gods
847,atheism is the only way ,Existence of God,The argument for the existence of god is then a logical fallacy
848,atheism is the only way ,Existence of God,the concept of an omnipotent entity is logically contradictory
849,atheism is the only way ,Existence of God,things cannot exist without creators
850,atheism is the only way ,Existence of God,"an omnipotent and omniscient being would not have any reason to act in any way, specifically by creating the universe"
851,atheism is the only way ,Existence of God,"if, when asked for, there is no visible help from God, there is no reason to believe that there is a God"
852,atheism is the only way ,Existence of God,an unchanging God cannot be the source of an ever changing world
853,atheism is the only way ,Existence of God,the idea of God is inconceivable and self-contradictory
854,atheism is the only way ,Existence of God,a perfect God can have no need to create a world
855,atheism is the only way ,Existence of God,"a benevolent deity ought to create only happy creatures, not an imperfect world like the real world"
856,atheism is the only way ,Existence of God,the evidence allegedly proving the existence of God was insufficient
857,atheism is the only way ,Existence of God,"God's existence ""can be known with certainty from the created world by the natural light of human reason"
858,atheism is the only way ,Existence of God,God's existence can be demonstrated
859,atheism is the only way ,Existence of God,"all human experience and action (even the condition of unbelief, itself) is a proof for the existence of God"
860,atheism is the only way ,Existence of God,there is insufficient reason to believe that any gods exist
861,atheism is the only way ,Existence of God,the existence of some or all gods is logically impossible
862,atheism is the only way ,Existence of God,are logically contradictory
863,atheism is the only way ,Existence of God,there are no good reasons and no credible grounds for believing that gods exist
864,atheism is the only way ,Criticism of atheism,there are insufficient grounds to assert authoritatively that any supreme being does not exist
865,atheism is the only way ,Criticism of atheism,acknowledgment of God or the gods is a major factor in motivating people towards moral behavior
866,atheism is the only way ,Criticism of atheism,Atheism has been criticized as a faith in itself
867,atheism is the only way ,Criticism of atheism,atheism systematically influences people to do bad things
868,atheism is the only way ,The Root of All Evil?,humanity would be better off without religion or belief in God
869,atheism is the only way ,The Root of All Evil?,is divisive and dangerous
870,atheism is the only way ,The Root of All Evil?,atheism is not a recipe for despair but just the opposite
871,atheism is the only way ,The Root of All Evil?,is life-affirming in a way that religion can never be
872,atheism is the only way ,The Root of All Evil?,religion does more harm than good
873,atheism is the only way ,Criticism of religion,all phenomena could be understood as resulting from purely natural causes
874,atheism is the only way ,Criticism of religion,religion was born of fear and ignorance
875,atheism is the only way ,Criticism of religion,they require beliefs that are irrational
876,atheism is the only way ,Criticism of religion,religious beliefs and traditions lack scientific or rational foundations
877,atheism is the only way ,Criticism of religion,Religions often posit facts that are contradicted by scientific evidence
878,atheism is the only way ,Criticism of religion,their teachings are outdated in comparison with modern Western morals
879,atheism is the only way ,Criticism of religion,Religions have promoted facts and histories that are contradicted by science
880,atheism is the only way ,Criticism of religion,"theist religions and their holy books are not divinely inspired, but instead are fabrications of non-divine human individuals"
881,atheism is the only way ,Criticism of religion,there are reasonable arguments supporting the existence of God
882,atheism is the only way ,Criticism of religion,religious belief is a delusion
883,atheism is the only way ,Criticism of religion,religious belief is a delusion
884,atheism is the only way ,Criticism of religion,religion is nothing more than a social construct that primitive humans evolved
885,atheism is the only way ,Criticism of religion,the need for explaining life and death can be met by science and philosophy
886,atheism is the only way ,Criticism of religion,"atheism was responsible for ""some 20th century atrocities"
887,atheism is the only way ,Criticism of religion,theistic religions devalue human compassion and morality
888,atheism is the only way ,Criticism of religion,religion is a positive civilizing influence on society
889,atheism is the only way ,Richard Dawkins,life and the universe were created by a deity
890,atheism is the only way ,Richard Dawkins,faith ? belief that is not based on evidence ? is one of the world's great evils
891,atheism is the only way ,Richard Dawkins,"atheism is evidence of a healthy, independent mind"
892,atheism is the only way ,Ultimate Boeing 747 gambit,the God hypothesis inferior to evolution by natural selection as explanations for the complexity of life
893,atheism is the only way ,Ultimate Boeing 747 gambit,"where design fails to explain complexity, evolution by natural selection succeeds"
894,atheism is the only way ,Ultimate Boeing 747 gambit,"The theory of natural selection is much simpler than the theory of the existence of such a complex being, and thus preferable"
895,atheism is the only way ,Ultimate Boeing 747 gambit,God is improbable
896,atheism is the only way ,Ultimate Boeing 747 gambit,a creator of a universe with such complexity would have to be complex and improbable
897,atheism is the only way ,Ultimate Boeing 747 gambit,"there must be a first cause, which can be given the name God"
898,atheism is the only way ,The God Delusion,evolution can explain the apparent design in nature
899,atheism is the only way ,The God Delusion,"Natural selection and similar scientific theories are superior to a ""God hypothesis""—the illusion of intelligent design—in explaining the living world and the cosmos"
900,atheism is the only way ,The God Delusion,"atheism is evidence of a healthy, independent mind"
901,atheism is the only way ,The God Delusion,evolution by natural selection can explain apparent design in nature
902,atheism is the only way ,The God Delusion,the designer hypothesis immediately raises the larger problem of who designed the designer
903,atheism is the only way ,The God Delusion,the theory of a universe without a God is preferable to the theory of a universe with a God
904,atheism is the only way ,The God Delusion,religion is needed to make us behave morally
905,atheism is the only way ,The God Delusion,"fills a ""much needed gap"
906,atheism is the only way ,The God Delusion,religion is socially dangerous
907,atheism is the only way ,Cosmological argument,"something caused the Universe to exist, and this First Cause must be God"
908,atheism is the only way ,Cosmological argument,existence must be due to an agent cause
909,atheism is the only way ,Cosmological argument,"the existence of the Universe requires an explanation, and the creation of the Universe by a First Cause, generally assumed to be God, is that explanation"
910,atheism is the only way ,Cosmological argument,a god created the Universe
911,atheism is the only way ,Problem of evil,the existences of such a god and of evil are logically incompatible
912,atheism is the only way ,Problem of evil,"God cannot exist with, or would want to prevent, all evils"
913,atheism is the only way ,Problem of evil,God and evil are logically incompatible
914,atheism is the only way ,Problem of evil,"An omniscient, wholly good being would prevent the occurrence of any intense suffering"
915,atheism is the only way ,God,the universe can be explained without any reference to the supernatural
916,atheism is the only way ,God,God exists and this can be proven
917,atheism is the only way ,God,none of the arguments for God's existence are compelling
918,atheism is the only way ,Agnosticism,human reason is incapable of providing sufficient rational grounds to justify the belief that deities either do or do not exist
919,atheism is the only way ,Agnosticism,"God, the beginning and end of all, can, by the natural light of human reason, be known with certainty from the works of creation"
920,atheism is the only way ,Antitheism,"the effect of religious belief, is positively harmful"
921,atheism is the only way ,Antitheism,there is evidence even for the existence of a God
922,atheism is the only way ,God Is Not Great,we do not need God to explain things
923,atheism is the only way ,God Is Not Great,the most immoral acts in human history were performed by atheists
924,atheism is the only way ,God Is Not Great,the human race no longer needs religion
925,atheism is the only way ,God Is Not Great,all attempts to reconcile faith with science and reason are consigned to failure
926,atheism is the only way ,God of the gaps,"Because current science can't figure out exactly how life started, it must be God who caused life to start"
927,atheism is the only way ,The System of Nature,belief in a higher being is the product of fear
928,atheism is the only way ,Quinque viae,"everything in the Universe has a purpose, which must have been caused by God"
929,atheism is the only way ,Quinque viae,"everything in the Universe follows laws, which must have been created by God"
930,atheism is the only way ,Argument from morality,God must exist to give force to moral obligations
931,atheism is the only way ,Argument from morality,"objective moral truths and the binding nature of obligations suggests a high power to enforce them, regarded as God"
932,atheism is the only way ,Argument from morality,only the existence of God as orthodoxly conceived could support the existence of moral order in the world
933,atheism is the only way ,Argument from morality,"A natural moral order requires the existence of God as orthodoxly conceived, so god must exist"
934,atheism is the only way ,Argument from morality,there is not good argument for God's existence that arises from pure reason alone
935,atheism is the only way ,Argument from morality,all moral thought requires the assumption that God exists
936,atheism is the only way ,Argument from morality,"theists are able to offer justification for morality, while atheists are not"
937,atheism is the only way ,Argument from morality,the natural is all that exists
938,atheism is the only way ,Naturalism (philosophy),nothing exists beyond the natural universe
939,atheism is the only way ,Naturalism (philosophy),nature is all there is
940,institute a mandatory retirement age ,Mandatory retirement,the age at which retirement is mandated is often somewhat arbitrary and not based upon an actual physical evaluation of an individual person
941,institute a mandatory retirement age ,Mandatory retirement,"the practice as a form of age discrimination, or ageism"
942,institute a mandatory retirement age ,Mandatory retirement,it is unlawful to discriminate against a person because of his/her age
943,institute a mandatory retirement age ,Ageing,separation of older people from active roles in society is normal and appropriate
944,institute a mandatory retirement age ,Ageing,benefits both society and older individuals
945,institute a mandatory retirement age ,Ageing,"the more active elderly people are, the more likely they are to be satisfied with life"
946,institute a mandatory retirement age ,Memory and aging,Normal aging is associated with a decline in various memory abilities in many cognitive tasks
947,institute a mandatory retirement age ,US age discrimination,older workers are more expensive than younger ones
948,institute a mandatory retirement age ,US age discrimination,they lack up-to-date skills
949,institute a mandatory retirement age ,US age discrimination,older people as a group that acts as more of a cost than an asset to the company
950,institute a mandatory retirement age ,US age discrimination,The older generation workers often require more benefits from the company due to their age
951,democratic governments should require voters to present photo identification at the polling station ,Help America Vote Act,"identification requirements, however, may heighten the opportunities for confusion and voter intimidation"
952,democratic governments should require voters to present photo identification at the polling station ,Help America Vote Act,may reduce rather than expand the electorate
953,democratic governments should require voters to present photo identification at the polling station ,Help America Vote Act,voter identification laws that could suppress the turnout by voters
954,democratic governments should require voters to present photo identification at the polling station ,Voter suppression,presenting them is a minor inconvenience when weighed against the possibility of ineligible voters affecting elections
955,democratic governments should require voters to present photo identification at the polling station ,Voter suppression,photo ID requirements disproportionately affect minority and elderly voters
956,democratic governments should require voters to present photo identification at the polling station ,Voter suppression,photo identification was necessary to prevent widespread voter fraud
957,democratic governments should require voters to present photo identification at the polling station ,Voter suppression,would decrease voting
958,democratic governments should require voters to present photo identification at the polling station ,Voter suppression,The danger of voter fraud threatens the integrity of the entire electoral process
959,democratic governments should require voters to present photo identification at the polling station ,Voter suppression,"it ""has the potential to block millions of eligible American voters, and thus suppress the right to vote"
960,democratic governments should require voters to present photo identification at the polling station ,Crawford v. Marion County Election Board,procedures for acquiring an ID were too burdensome and costly for some low income or elderly voters
961,reintroduce national service ,Conscription in the United States,conscription would not provide adequate protection for the rights of conscientious objectors
962,reintroduce national service ,Conscription in the United States,adequate military strength could be maintained without having conscription
963,reintroduce national service ,Conscription in the United States,the draft is fundamentally unfair
964,reintroduce national service ,Conscription in the United States,The draft has been perceived by some as unfairly targeting the poor and lower middle classes
965,reintroduce national service ,Conscription in the United States,it was less likely that a republic with conscription would engage in preemptive wars
966,reintroduce national service ,Conscription in the United States,the draft should be reinstated to make the military more equal
967,reintroduce national service ,Conscription in the United States,"the draft ""does bring people from all quarters of our society together in the common purpose of serving"
968,reintroduce national service ,Conscription,it violates individual rights
969,reintroduce national service ,Conscription,represents slavery and involuntary servitude
970,reintroduce national service ,Conscription,"Of all the statist violations of individual rights in a mixed economy, the military draft is the worst"
971,reintroduce national service ,Conscription,It is an abrogation of rights
972,reintroduce national service ,Conscription,It negates man’s fundamental right—the right to life
973,reintroduce national service ,Conscription,the very conception of a just government in its duty to the citizen includes the reciprocal obligation of the citizen to render military service in case of need
974,reintroduce national service ,Conscription,"in a cost-to-benefit ratio, conscription during peace time is not worthwhile"
975,reintroduce national service ,Conscription,Months or years of service amongst the most fit and capable subtracts from the productivity of the economy
976,reintroduce national service ,Conscription,The work effort of the conscripts is effectively wasted
977,reintroduce national service ,Conscription,professionally-skilled conscripts are also difficult to replace in the civilian workforce
978,reintroduce national service ,Conscription,"Every soldier conscripted in the army is taken away from his civilian work, and away from contributing to the economy which funds the military"
979,reintroduce national service ,Conscription,it was the right and privilege of every citizen to participate to the defense of the whole society
980,reintroduce national service ,Conscription,mandatory military and national service as ways of instilling maturity in young adults
981,reintroduce national service ,Conscription in Germany,"some service is better than none at all, bringing citizens in contact with their military"
982,reintroduce national service ,Conscription in Germany,the abolition of the draft would lead to recruitment shortages even for higher ranking positions
983,reintroduce national service ,Conscription in Germany,considerable savings in defence spending from abolishing the draft
984,reintroduce national service ,Conscription in Germany,professional armed forces can be more expensive than a draft-based military
985,reintroduce national service ,Conscription in Germany,the draft was simply anachronistic
986,reintroduce national service ,Conscription in Germany,The draft obliged male citizens to pay society back through their military or civilian service
987,reintroduce national service ,Counter-recruitment,military service provides job skills
988,reintroduce national service ,Counter-recruitment,personal and technical skills learned in the military will improve later employment prospects in civilian life
989,reintroduce national service ,Counter-recruitment,leadership skills acquired during military training can absolutely enhance one’s chances for success in corporate life
990,reintroduce national service ,National Service Act of 2006,in the case of a mandatory draft members of the U.S. Congress would be much less likely to authorize an unnecessary war
991,reintroduce national service ,National Service Act of 2006,bringing back the draft would remedy the social disparity
992,reintroduce national service ,Charles B. Rangel,a draft would make the military more representative of the American public at large
993,reintroduce national service ,Charles B. Rangel,Fairness dictates that the sons and daughters of the white middle and upper classes share the burden of war
994,trade aid,Aid effectiveness,aid is never effective
995,trade aid,Aid effectiveness,it has achieved significant impact when it has been properly directed and managed
996,trade aid,Aid effectiveness,aid is ineffective
997,trade aid,Aid effectiveness,the impact of aid on GDP growth is positive
998,trade aid,Aid effectiveness,"aid has less or no significant impact in countries with ""poor"" institutions and policies"
999,trade aid,Aid effectiveness,aids used for infrastructure and investments will result in a positive economic growth
1000,trade aid,Aid effectiveness,aid is effective under a wide variety of circumstances
1001,trade aid,Aid effectiveness,aid alone is not enough to lift developing countries out of poverty
1002,trade aid,Aid effectiveness,aid actually has a significant impact on growth
1003,trade aid,Aid effectiveness,trade is an important tool for development
1004,trade aid,Dambisa Moyo,Aid is Not Working
1005,trade aid,Dambisa Moyo,foreign aid has harmed Africa
1006,trade aid,Dambisa Moyo,foreign aid helps perpetuate the cycle of poverty
1007,trade aid,Dambisa Moyo,hinders economic growth
1008,trade aid,Dambisa Moyo,"were aid cut, African governments would respond by turning to other sources of finance that would make them more accountable"
1009,trade aid,Dambisa Moyo,more foreign aid is needed to improve conditions for Africa
1010,trade aid,Dambisa Moyo,the path to long-term development would only be achieved through private sector involvement and free market solutions
1011,trade aid,Peter Thomas Bauer,the most effective manner to help developing countries advance is through state-controlled foreign aid
1012,trade aid,Peter Thomas Bauer,government-to-government aid was neither necessary nor sufficient for development
1013,trade aid,Peter Thomas Bauer,leads to corruption
